"trip_id","caregiver","duration"
"1","girl",2449
"1","Ground",275
"1","Ground",373
"1","Ground",613
"1","Ground",292
"1","Ground",235
"1","Ground",401
"1","Ground",3457
"1","Ground",1046
"1","mother",162
"1","Ground",200
"1","mother",955
"1","Ground",985
"1","Ground",99
"1","mother",117
"1","Ground",661
"1","mother",154
"1","Ground",492
"1","Ground",317
"1","mother",0
"1","Ground",802
"1","mother",99
"1","Ground",176
"1","mother",89
"1","Ground",596
"1","mother",220
"1","Ground",611
"1","mother",731
"1","Ground",404
"1","Ground",45
"1","Ground",1655
"1","mother",1541
"2","mother",471
"2","Ground",119
"2","girl",864
"2","Ground",579
"2","mother",106
"2","Ground",146
"2","Ground",149
"2","mother",213
"2","girl",171
"2","Ground",159
"2","Ground",425
"2","Ground",1578
"2","Ground",471
"2","Ground",153
"2","girl",87
"2","Ground",288
"2","Ground",196
"2","Ground",139
"2","mother",76
"2","Ground",184
"2","Ground",501
"2","mother",246
"2","Ground",637
"2","girl",944
"2","mother",2972
"2","mother",113
"2","Ground",39
"2","mother",339
"2","Ground",51
"2","mother",41
"2","Ground",70
"2","girl",759
"2","mother",126
"2","Ground",1955
"2","Ground",38
"2","mother",593
"2","Ground",42
"2","Ground",531
"2","mother",366
"2","Ground",152
"2","mother",1044
"3","mother",1691
"3","Ground",1709
"3","Ground",2200
"3","Ground",254
"3","mother",1575
"3","Ground",1318
"3","Ground",414
"3","Ground",379
"3","Ground",161
"3","Ground",253
"3","Ground",141
"3","mother",864
"3","mother",746
"4","mother",148
"4","Ground",28
"4","mother",1864
"4","Ground",87
"4","mother",1623
"4","Ground",192
"4","mother",87
"4","Ground",137
"4","Ground",312
"4","Ground",652
"4","Ground",291
"4","Ground",69
"4","Ground",570
"4","Ground",69
"4","Ground",18
"4","girl",226
"4","Ground",127
"4","girl",1147
"4","Ground",1060
"4","Ground",1629
"4","girl",147
"4","mother",370
"4","Ground",34
"4","Ground",1978
"4","Ground",544
"4","girl",957
"4","Ground",419
"4","girl",543
"4","girl",68
"4","girl",124
"4","girl",1279
"4","girl",663
"4","girl",154
"4","girl",1143
"4","girl",1613
"4","Ground",1015
"4","girl",100
"4","Ground",1304
"4","Ground",551
"4","Ground",2316
"4","Ground",167
"4","mother",41
"4","Ground",271
"4","girl",1434
"4","girl",1816
"4","mother",1386
"5","mother",1091
"5","Ground",2122
"5","Ground",79
"5","Ground",221
"5","mother",124
"5","Ground",74
"5","Ground",72
"5","Ground",1664
"5","Ground",551
"5","mother",26
"5","Ground",453
"5","Ground",120
"5","Ground",886
"5","mother",61
"5","Ground",143
"5","mother",100
"5","Ground",422
"5","Ground",391
"5","mother",782
"6","mother",755
"6","Ground",294
"6","mother",1228
"6","Ground",222
"6","Ground",569
"6","Ground",531
"6","Ground",22
"6","mother",115
"6","mother",80
"6","Ground",22
"6","Ground",560
"6","Ground",107
"6","Ground",48
"6","Ground",75
"6","Ground",423
"6","Ground",406
"6","Ground",174
"6","Ground",1037
"6","mother",2461
"6","Ground",655
"6","Ground",1708
"6","Ground",572
"6","Ground",1325
"6","Ground",254
"6","Ground",6256
"6","Ground",1061
"6","Ground",1068
"6","Ground",4927
"6","Ground",1078
"6","mother",522
"6","Ground",246
"6","mother",178
"6","mother",1063
"6","Ground",1414
"6","mother",893
"6","Ground",69
"6","mother",1890
"7","girl",2024
"7","girl",253
"7","Ground",49
"7","Ground",330
"7","mother",70
"7","Ground",346
"7","Ground",19
"7","girl",301
"7","Ground",393
"7","Ground",961
"7","Ground",127
"7","Ground",149
"7","Ground",204
"7","Ground",100
"7","Ground",164
"7","girl",3781
"7","girl",893
"7","girl",451
"7","Ground",306
"7","Ground",53
"7","Ground",739
"7","Ground",206
"7","Ground",593
"7","girl",1568
"7","girl",362
"7","?",98
"7","?",220
"7","Ground",237
"7","Ground",784
"7","girl",1326
"7","Ground",185
"7","girl",1353
"8","woman",844
"8","woman",1345
"8","Ground",106
"8","Ground",188
"8","Ground",186
"8","Ground",1429
"8","Ground",292
"8","Ground",161
"8","mother",214
"8","Ground",679
"8","mother",171
"8","Ground",1409
"8","boy",74
"8","Ground",1311
"8","boy",816
"8","boy",131
"8","boy",412
"8","Ground",1460
"8","Ground",177
"8","mother",430
"8","Ground",1897
"8","mother",411
"8","Ground",3225
"8","Ground",469
"8","Ground",996
"8","Ground",324
"8","mother",139
"8","Ground",157
"8","Ground",73
"8","mother",84
"8","Ground",468
"8","mother",43
"8","mother",78
"8","Ground",68
"8","mother",126
"8","mother",248
"8","mother",99
"8","Ground",61
"8","Ground",1553
"8","Ground",187
"8","mother",191
"8","Ground",86
"8","mother",99
"8","mother",149
"8","Ground",22
"8","mother",266
"8","mother",155
"8","mother",86
"8","Ground",85
"8","Ground",1264
"8","Ground",284
"8","Ground",237
"8","mother",141
"8","Ground",945
"8","mother",1300
"9","mother",1608
"9","Ground",183
"9","mother",346
"9","Ground",565
"9","Ground",424
"9","Ground",800
"9","Ground",112
"9","Ground",440
"9","Ground",410
"9","Ground",116
"9","Ground",23
"9","Ground",1348
"9","Ground",1066
"9","Ground",942
"9","girl",176
"9","Ground",208
"9","mother",86
"9","Ground",1000
"9","mother",262
"9","mother",2142
"10","mother",1963
"10","Ground",379
"10","Ground",1234
"10","mother",93
"10","Ground",875
"10","mother",814
"10","woman",1413
"11","mother",698
"11","Ground",2913
"11","mother",829
"12","boy",2492
"12","Ground",494
"12","mother",887
"12","Ground",658
"12","mother",654
"12","boy",197
"12","Ground",2150
"12","boy",395
"12","Ground",789
"12","boy",2622
"12","Ground",216
"12","boy",294
"12","Ground",72
"12","boy",2292
"12","Ground",221
"12","girl",527
"12","boy",935
"12","Ground",76
"12","Ground",1609
"12","Ground",349
"12","Ground",720
"12","Ground",140
"12","boy",616
"12","Ground",209
"12","Ground",1304
"12","boy",1788
"12","boy",247
"12","boy",844
"12","Ground",192
"12","mother",750
"13","mother",1063
"13","Ground",85
