"ID_focal","trip_duration","n_girls","n_women","n_boys","n_men","husband_presence"
"1",20252,2,4,1,0,FALSE
"2",18133,3,3,1,1,TRUE
"3",11705,1,2,0,2,TRUE
"4",30773,3,2,0,0,FALSE
"5",9382,0,0,0,1,TRUE
"6",34308,0,3,1,0,FALSE
"7",18645,3,1,0,0,FALSE
"8",27851,0,3,4,3,TRUE
"9",12257,2,0,2,0,FALSE
"10",6771,2,1,1,1,TRUE
"11",4440,0,0,0,1,TRUE
"12",24739,3,5,1,0,FALSE
"13",14092,4,1,0,0,FALSE
"14",18437,4,1,2,0,FALSE
"15",6547,0,0,0,0,FALSE
"16",24366,5,7,1,0,FALSE
"17",23569,3,6,3,0,FALSE
"18",24371,2,7,2,0,FALSE
