"trip_id","caregiver","duration"
"1","mother",2449
"1","girl",275
"1","girl",373
"1","girl",613
"1","girl",292
"1","girl",235
"1","girl",401
"1","girl",3457
"1","mother",1046
"1","girl",162
"1","girl",200
"1","girl",955
"1","girl",985
"1","mother",99
"1","girl",117
"1","girl",661
"1","girl",154
"1","girl",492
"1","mother",317
"1","girl",0
"1","girl",802
"1","girl",99
"1","girl",176
"1","girl",89
"1","girl",596
"1","girl",220
"1","girl",611
"1","girl",731
"1","mother",404
"1","Ground",45
"1","mother",1655
"1","girl",1541
"2","mother",471
"2","mother",119
"2","mother",864
"2","father",579
"2","father",106
"2","girl",146
"2","mother",149
"2","girl",213
"2","mother",171
"2","girl",159
"2","girl",425
"2","girl",1578
"2","mother",471
"2","mother",153
"2","mother",87
"2","girl",288
"2","mother",196
"2","mother",139
"2","mother",76
"2","girl",184
"2","mother",501
"2","mother",246
"2","mother",637
"2","mother",944
"2","mother",2972
"2","mother",113
"2","mother",39
"2","mother",339
"2","mother",51
"2","mother",41
"2","mother",70
"2","mother",759
"2","mother",126
"2","girl",1955
"2","mother",38
"2","mother",593
"2","mother",42
"2","girl",531
"2","mother",366
"2","mother",152
"2","mother",1044
"3","mother",1691
"3","mother",1709
"3","father",2200
"3","mother",254
"3","mother",1575
"3","Ground",1318
"3","mother",414
"3","mother",379
"3","father",161
"3","mother",253
"3","mother",141
"3","mother",864
"3","father",746
"4","girl",148
"4","girl",28
"4","girl",1864
"4","girl",87
"4","girl",1623
"4","girl",192
"4","girl",87
"4","girl",137
"4","mother",312
"4","Ground",652
"4","girl",291
"4","Ground",69
"4","mother",570
"4","Ground",69
"4","mother",18
"4","mother",226
"4","mother",127
"4","mother",1147
"4","mother",1060
"4","mother",1629
"4","mother",147
"4","mother",370
"4","mother",34
"4","girl",1978
"4","mother",544
"4","mother",957
"4","mother",419
"4","mother",543
"4","girl",68
"4","mother",124
"4","Ground",1279
"4","mother",663
"4","girl",154
"4","girl",1143
"4","mother",1613
"4","mother",1015
"4","mother",100
"4","girl",1304
"4","girl",551
"4","girl",2316
"4","mother",167
"4","mother",41
"4","mother",271
"4","mother",1434
"4","mother",1816
"4","girl",1386
"5","mother",1091
"5","mother",2122
"5","Ground",79
"5","mother",221
"5","mother",124
"5","mother",74
"5","Ground",72
"5","mother",1664
"5","Ground",551
"5","mother",26
"5","mother",453
"5","mother",120
"5","Ground",886
"5","mother",61
"5","Ground",143
"5","mother",100
"5","Ground",422
"5","father",391
"5","mother",782
"6","mother",755
"6","mother",294
"6","mother",1228
"6","mother",222
"6","boy",569
"6","mother",531
"6","mother",22
"6","mother",115
"6","mother",80
"6","mother",22
"6","boy",560
"6","mother",107
"6","mother",48
"6","mother",75
"6","mother",423
"6","mother",406
"6","mother",174
"6","mother",1037
"6","mother",2461
"6","mother",655
"6","boy",1708
"6","mother",572
